CODIGOS	DESCRIPCION	Unidad_Primaria
PTSU0078	DONA RELLENA PAVLOVA 60GR 1 UND	UND
PTSU0083	CRUFFIN DE CAFE Y AVELLANAS 1 UND	UND
PTSU0005	CACHITO DE PAVO CON QUESO 130 GR 1 UND	UND
PTSU0086	MINI CACHITO DE PAVO Y QUESO CREMA 1 UND	UND
PTSU0082	CRUFFIN DE PISTACHOS 1 UND	UND
PTSU0061	DONA RELLENA DE CHOCOLATE 60 GR 1 UND	UND
PTSU0079	GALLETA DE AVENA 1 UND	UND
PTSU0007	CACHITO DE QUESO 130 GR 1 UND	UND
PTSU0014	PAN DE JAMON EN REBANADA 100 GR 1 UND	UND
PTSU0013	PAN DE JAMON MINI 600 GR 1 UND	UND
PTSU0017	PAN DE JAMON Y PANNETONE 1 UND	UND
PTSU0016	PAN DE PAVO MINI 500 GR 1 UND	UND
PTSU0001	PAN DULCE 30 GR 1 UND	UND
PTSU0062	DONA RELLENA DE BUFITO 60 GR 1 UND	UND
PTSU0075	CACHITO DE PERNIL 130 G 1 UND	UND
PTSU0030	DISPONIBLE	UND
PTSU0034	DISPONIBLE	UND
PTSU0035	DISPONIBLE	UND
PTSU0036	DISPONIBLE	UND
PTSU0037	DISPONIBLE	UND
PTSU0038	DISPONIBLE	UND
PTSU0039	DISPONIBLE	UND
PTSU0026	GALLEGO 400 GR 1 UND	UND
PTSU0027	GALLEGUITO 140 GR 1 UND	UND
PTSU0076	SANDUCHE DE PROSCIUTTO	UND
PTSU0081	CRUFFIN DE PECANS 1 UND	UND
PTSU0022	MINI CANILLA 120 GR 1 UND	UND
PTSU0024	BAGUITO 140 GR 1 UND	UND
PTSU0089	DONA REGULAR COOKIES & CREAM 60 G 1 UND	UND
PTSU0063	DONA RELLENA DE CREMA DE MANI 60 GR 1 UND	UND
PTSU0060	DONA RELLENA DE VAINILLA 60 GR 1 UND	UND
PTSU0069	MINI DONA REGULAR BERRY GOOD 30 GR 1 UND	UND
PTSU0071	MINI DONA REGULAR CHOCOLATE BLANCO 30 GR 1 UND	UND
PTSU0072	MINI DONA REGULAR MAPPLE 30 GR 1 UND	UND
PTSU0080	MINI CACHITO DE JAMON 1 UND	UND
PTSU0084	CINNAMON ROLL TIRAMISU 95 GR 1 UND	UND
PTSU0029	BABKA DE COFFE CAKE 840 GR 1 UND	UND
PTSU0050	CUAIMA 65 GR 1 UND	UND
PTSU0031	DISPONIBLE	UND
PTSU0040	DISPONIBLE	UND
PTSU0041	DISPONIBLE	UND
PTSU0042	DISPONIBLE	UND
PTSU0045	DISPONIBLE	UND
PTSU0044	MINI BAGELS AJONJOLI 45 GR 5 UND	UND
PTSU0070	MINI DONA REGULAR PIE DE LIMON 30 GR 1 UND	UND
PTSU0032	DISPONIBLE	UND
PTSU0043	DISPONIBLE	UND
PTEM0197	PAN DE HAMBURGUESAS ESPECIAL TIPO BRIOCHE 110 G W A18	PAQ
